Gini_Index,Median_Household_Income,Year,State,Region
0.4652,48081,2013,Ohio,Midwest
0.4619,45690,2013,Oklahoma,South
0.46,50251,2013,Oregon,West
0.4696,52007,2013,Pennsylvania,Northeast
0.4769,55902,2013,Rhode Island,Northeast
0.4665,44163,2013,South Carolina,South
0.4427,48947,2013,South Dakota,Midwest
0.4783,44297,2013,Tennessee,South
0.4807,51704,2013,Texas,South
0.4537,52578,2013,Vermont,Northeast
0.4259,59770,2013,Utah,West
0.4672,62666,2013,Virginia,South
0.4572,58405,2013,Washington,West
0.4647,41253,2013,West Virginia,South
0.4446,51467,2013,Wisconsin,Midwest
0.4183,58752,2013,Wyoming,West
0.4752,42849,2013,Alabama,South
0.4083,72237,2013,Alaska,West
0.4681,48510,2013,Arizona,West
0.4685,40511,2013,Arkansas,South
0.4903,60190,2013,California,West
0.4614,58823,2013,Colorado,West
0.4513,57846,2013,Delaware,South
0.532,67572,2013,District of Columbia,South
0.4994,67098,2013,Connecticut,Northeast
0.4843,46036,2013,Florida,South
0.4837,47829,2013,Georgia,South
0.4376,46783,2013,Idaho,West
0.44,68020,2013,Hawaii,West
0.4824,56210,2013,Illinois,Midwest
0.4554,47529,2013,Indiana,Midwest
0.4429,52229,2013,Iowa,Midwest
0.4589,50972,2013,Kansas,Midwest
0.4721,43399,2013,Kentucky,South
0.4914,44164,2013,Louisiana,South
0.4532,46974,2013,Maine,Northeast
0.4555,72483,2013,Maryland,South
0.4837,66768,2013,Massachusetts,Northeast
0.4641,48273,2013,Michigan,Midwest
0.4462,60702,2013,Minnesota,Midwest
0.4758,42830,2014,Alabama,South
0.4175,71583,2014,Alaska,West
0.4676,50068,2014,Arizona,West
0.4714,41262,2014,Arkansas,South
0.489,61933,2014,California,West
0.4584,61303,2014,Colorado,West
0.4494,59716,2014,Delaware,South
0.5224,71648,2014,District of Columbia,South
0.5005,70048,2014,Connecticut,Northeast
0.4834,47463,2014,Florida,South
0.4801,49321,2014,Georgia,South
0.4541,47861,2014,Idaho,West
0.4325,69592,2014,Hawaii,West
0.4765,57444,2014,Illinois,Midwest
0.4455,49446,2014,Indiana,Midwest
0.4433,53712,2014,Iowa,Midwest
0.4597,52504,2014,Kansas,Midwest
0.4704,42958,2014,Kentucky,South
0.4902,44555,2014,Louisiana,South
0.4593,49462,2014,Maine,Northeast
0.4491,73971,2014,Maryland,South
0.4863,69160,2014,Massachusetts,Northeast
0.4598,49847,2014,Michigan,Midwest
0.4539,61481,2014,Minnesota,Midwest
0.476,39680,2014,Mississippi,South
0.4628,48363,2014,Missouri,Midwest
0.4544,46328,2014,Montana,West
0.4352,52686,2014,Nebraska,Midwest
0.4427,51450,2014,Nevada,West
0.441,66532,2014,New Hampshire,Northeast
0.4757,71919,2014,New Jersey,Northeast
0.477,44803,2014,New Mexico,West
0.5111,58878,2014,New York,Northeast
0.4748,46556,2014,North Carolina,South
0.4664,59029,2014,North Dakota,Midwest
0.4637,49308,2014,Ohio,Midwest
0.466,47529,2014,Oklahoma,South
0.4624,51075,2014,Oregon,West
0.4686,53234,2014,Pennsylvania,Northeast
0.4827,54891,2014,Rhode Island,Northeast
0.4687,45238,2014,South Carolina,South
0.4468,50979,2014,South Dakota,Midwest
0.4811,44361,2014,Tennessee,South
