Gini_Index,Median_Household_Income,Year,State
0.4687,51924,2018,Oklahoma
0.4582,63426,2018,Oregon
0.4747,60905,2018,Pennsylvania
0.47,64340,2018,Rhode Island
0.4762,52306,2018,South Carolina
0.4445,56274,2018,South Dakota
0.4778,52375,2018,Tennessee
0.4822,60629,2018,Texas
0.4473,60782,2018,Vermont
0.4269,71414,2018,Utah
0.4754,72577,2018,Virginia
0.4574,74073,2018,Washington
0.4742,44097,2018,West Virginia
0.4859,49861,2018,Alabama
0.4322,74346,2018,Alaska
0.4613,59246,2018,Arizona
0.4845,47062,2018,Arkansas
0.4912,75277,2018,California
0.4561,71953,2018,Colorado
0.4587,64805,2018,Delaware
0.5243,85203,2018,District of Columbia
0.5014,76348,2018,Connecticut
0.4887,55462,2018,Florida
0.4822,58756,2018,Georgia
0.4454,55583,2018,Idaho
0.445,80212,2018,Hawaii
0.4852,65030,2018,Illinois
0.4511,55746,2018,Indiana
0.4413,59955,2018,Iowa
0.4633,58218,2018,Kansas
0.4787,50247,2018,Kentucky
0.4936,47905,2018,Louisiana
0.4516,55602,2018,Maine
0.4543,83242,2018,Maryland
0.4875,79835,2018,Massachusetts
0.4679,56697,2018,Michigan
0.4536,70315,2018,Minnesota
0.4896,45792,2019,Mississippi
0.4633,57409,2019,Missouri
0.4597,57153,2019,Montana
0.44,63229,2019,Nebraska
0.471,63276,2019,Nevada
0.4406,77933,2019,New Hampshire
0.4782,85751,2019,New Jersey
0.4768,51945,2019,New Mexico
0.5149,72108,2019,New York
0.4743,57341,2019,North Carolina
0.4558,64577,2019,North Dakota
0.4651,58642,2019,Ohio
0.4739,54449,2019,Oklahoma
0.45,67058,2019,Oregon
0.4745,63463,2019,Pennsylvania
0.4628,71169,2019,Rhode Island
0.4747,56227,2019,South Carolina
0.436,59533,2019,South Dakota
0.4749,56071,2019,Tennessee
0.4753,64034,2019,Texas
0.4471,63001,2019,Vermont
0.4268,75780,2019,Utah
0.469,76456,2019,Virginia
0.4577,78687,2019,Washington
0.4644,48850,2019,West Virginia
0.4391,64168,2019,Wisconsin
0.4345,65003,2019,Wyoming
0.5509,20474,2019,
0.48,69187,2019,Illinois
0.4795,61980,2019,Georgia
0.4337,60999,2019,Idaho
0.4397,83102,2019,Hawaii
0.4584,57603,2019,Indiana
0.4422,61691,2019,Iowa
0.45,62087,2019,Kansas
0.4764,52295,2019,Kentucky
0.4978,51073,2019,Louisiana
0.449,58924,2019,Maine
0.4558,86738,2019,Maryland
0.4803,85843,2019,Massachusetts
0.4634,59584,2019,Michigan
0.4434,74593,2019,Minnesota
0.5024,78833,2019,Connecticut
0.4808,59227,2019,Florida
0.4741,51734,2019,Alabama
0.4376,75463,2019,Alaska
0.4591,62055,2019,Arizona
0.475,48952,2019,Arkansas
0.4866,80440,2019,California
0.4548,77127,2019,Colorado
0.4509,70176,2019,Delaware
0.5115,92266,2019,District of Columbia
0.4823,53913,2021,Alabama
0.5423,22237,2021,
0.4629,69056,2021,Arizona
0.4751,52528,2021,Arkansas
0.4924,84907,2021,California
0.4604,82254,2021,Colorado
0.4985,83771,2021,Connecticut
0.4547,71091,2021,Delaware
0.5305,90088,2021,District of Columbia
0.4869,63062,2021,Florida
0.4787,66559,2021,Georgia
0.4552,84857,2021,Hawaii
0.4577,66474,2021,Idaho
0.4824,72205,2021,Illinois
0.448,62743,2021,Indiana
0.4489,65600,2021,Iowa
0.4599,64124,2021,Kansas
0.4757,55573,2021,Kentucky
0.4988,52087,2021,Louisiana
0.4663,64767,2021,Maine
0.4631,90203,2021,Maryland
0.4893,89645,2021,Massachusetts
0.4659,63498,2021,Michigan
0.4493,77720,2021,Minnesota
0.4808,48716,2021,Mississippi
0.4706,61847,2021,Missouri
0.4693,63249,2021,Montana
0.456,66817,2021,Nebraska
0.4726,66274,2021,Nevada
0.4348,88465,2021,New Hampshire
0.4853,89296,2021,New Jersey
0.4861,53992,2021,New Mexico
0.514,74314,2021,New York
0.4801,61972,2021,North Carolina
0.4531,66519,2021,North Dakota
0.4687,62262,2021,Ohio
0.4618,55826,2021,Oklahoma
0.4611,71562,2021,Oregon
0.472,68957,2021,Pennsylvania
0.468,74008,2021,Rhode Island
0.476,59318,2021,South Carolina
0.4522,66143,2021,South Dakota
0.4821,59695,2021,Tennessee
0.4784,66963,2021,Texas
0.4449,79449,2021,Utah
0.4527,72431,2021,Vermont
0.4724,80963,2021,Virginia
0.4704,84247,2021,Washington
0.4858,51248,2021,West Virginia
0.4464,67125,2021,Wisconsin
0.4638,65204,2021,Wyoming
0.4392,77845,2021,Alaska
0.4851,59674,2022,Alabama
0.4278,88121,2022,Alaska
0.4665,74568,2022,Arizona
0.4799,55432,2022,Arkansas
0.4953,91551,2022,California
0.4566,89302,2022,Colorado
0.5008,88429,2022,Connecticut
0.4407,82174,2022,Delaware
0.5111,101027,2022,District of Columbia
0.4902,69303,2022,Florida
0.4736,72837,2022,Georgia
0.4574,92458,2022,Hawaii
0.4434,72785,2022,Idaho
0.4837,76708,2022,Illinois
0.4561,66785,2022,Indiana
0.4514,69588,2022,Iowa
0.4632,68925,2022,Kansas
0.4845,59341,2022,Kentucky
0.4915,55416,2022,Louisiana
0.4601,69543,2022,Maine
0.4589,94991,2022,Maryland
0.4976,94488,2022,Massachusetts
0.4685,66986,2022,Michigan
0.456,82338,2022,Minnesota
0.4806,52719,2022,Mississippi
0.4687,64811,2022,Missouri
0.4652,67631,2022,Montana
0.461,69597,2022,Nebraska
0.4685,72333,2022,Nevada
0.4466,89992,2022,New Hampshire
0.4815,96346,2022,New Jersey
0.4796,59726,2022,New Mexico
0.5208,79557,2022,New York
0.4768,67481,2022,North Carolina
0.4678,71970,2022,North Dakota
0.4691,65720,2022,Ohio
0.4743,59673,2022,Oklahoma
0.4679,75657,2022,Oregon
0.4778,71798,2022,Pennsylvania
0.464,81854,2022,Rhode Island
0.4757,64115,2022,South Carolina
0.4487,69728,2022,South Dakota
0.4694,65254,2022,Tennessee
0.4796,72284,2022,Texas
0.4264,89168,2022,Utah
0.4452,73991,2022,Vermont
0.4755,85873,2022,Virginia
0.4742,91306,2022,Washington
0.4804,54329,2022,West Virginia
0.451,70996,2022,Wisconsin
0.4437,70042,2022,Wyoming
0.5477,24112,2022,
0.4771,62212,2023,Alabama
0.4492,86631,2023,Alaska
0.465,77315,2023,Arizona
0.474,58700,2023,Arkansas
0.487,95521,2023,California
0.4575,92911,2023,Colorado
0.4954,91665,2023,Connecticut
0.4557,81361,2023,Delaware
0.5163,108210,2023,District of Columbia
0.4829,73311,2023,Florida
0.4787,74632,2023,Georgia
0.4512,95322,2023,Hawaii
0.4404,74942,2023,Idaho
0.481,80306,2023,Illinois
0.4536,69477,2023,Indiana
0.4464,71433,2023,Iowa
0.4518,70333,2023,Kansas
0.4759,61118,2023,Kentucky
0.4967,58229,2023,Louisiana
0.4509,73733,2023,Maine
0.4561,98678,2023,Maryland
0.4879,99858,2023,Massachusetts
0.4658,69183,2023,Michigan
0.4541,85086,2023,Minnesota
0.4843,54203,2023,Mississippi
0.4608,68545,2023,Missouri
0.4601,70804,2023,Montana
0.4634,74590,2023,Nebraska
0.4632,76364,2023,Nevada
0.4446,96838,2023,New Hampshire
0.4794,99781,2023,New Jersey
0.4771,62268,2023,New Mexico
0.5157,82095,2023,New York
0.4732,70804,2023,North Carolina
0.4451,76525,2023,North Dakota
0.4695,67769,2023,Ohio
0.4737,62138,2023,Oklahoma
0.4636,80160,2023,Oregon
0.4774,73824,2023,Pennsylvania
